Trial,Lane,Traffic,Yield,eHMI,First_Car_Creation_Time,First_Car_Decel_Time,First_Car_eHMI_ON_Time,First_Car_Stop_Time,First_Car_eHMI_OFF_Time,First_Car_Accel_Start_Time,First_Car_Destroy_Time,Second_Car_Creation_Time,Second_Car_Decel_Time,Second_Car_eHMI_ON_Time,Second_Car_Stop_Time,Second_Car_eHMI_OFF_Time,Second_Car_Accel_Start_Time,Second_Car_Destroy_Time,Collision_Car,Collision_Time,Pedestrian_Enter_time,Pedestrian_Exit_Time,TrialTimeOut,TrialTimeOut_Time
26,Three Lane,Two Car Different,No Yield,N/A,0,N/A,N/A,N/A,N/A,N/A,9.35478401184082,0,2.3652400970459,N/A,8.15647888183594,N/A,11.1585292816162,11.410532951355,N/A,N/A,6.71521043777466,11.0279550552368,N/A,N/A,
33,Four Lane,Two Car Same,No Yield,N/A,0,2.34835028648376,N/A,8.13274097442627,N/A,11.6070623397827,11.9896326065063,2.33066630363464,2.33395886421204,N/A,8.11937427520752,11.6070623397827,11.6070623397827,11.9896326065063,N/A,N/A,7.29678201675415,11.608247756958,N/A,N/A,
29,Three Lane,Two Car Different,Yield,eHMI B,0,2.36843991279602,2.36843991279602,8.15415382385254,N/A,N/A,10.1172332763672,0,2.36843991279602,2.36843991279602,8.15415382385254,N/A,N/A,10.1172332763672,N/A,N/A,5.42318487167358,9.73535346984863,N/A,N/A,
13,Two Lane,Two Car Same,No Yield,N/A,0,N/A,N/A,N/A,N/A,N/A,6.84099149703979,2.30630087852478,N/A,N/A,N/A,N/A,N/A,6.84099149703979,N/A,N/A,2.15257453918457,6.45882415771484,N/A,N/A,
1,Two Lane,Single Car,No Yield,N/A,0,N/A,N/A,N/A,N/A,N/A,6.49830675125122,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.80435955524445,6.11653089523315,N/A,N/A,
22,Two Lane,Single Car,Yield,eHMI B,0,2.36576056480408,2.36576056480408,8.15014934539795,N/A,N/A,9.27462100982666,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.5809850692749,8.89412021636963,N/A,N/A,
24,Four Lane,Single Car,Yield,eHMI B,0,2.36576151847839,2.36576151847839,N/A,N/A,N/A,7.50074768066406,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.80681657791138,7.11924171447754,N/A,N/A,
30,Four Lane,Two Car Different,Yield,eHMI B,0,2.36867809295654,2.36867809295654,N/A,N/A,N/A,6.08966684341431,0,2.36867809295654,2.36867809295654,N/A,N/A,N/A,6.08966684341431,N/A,N/A,1.39566171169281,5.70825815200806,N/A,N/A,
20,Three Lane,Single Car,No Yield,N/A,0,N/A,N/A,N/A,N/A,N/A,6.48948049545288,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.79496967792511,6.10835027694702,N/A,N/A,
15,Four Lane,Two Car Same,No Yield,N/A,0,2.34843945503235,N/A,N/A,N/A,N/A,6.76004886627197,2.31299042701721,2.33156299591064,N/A,N/A,N/A,N/A,6.76004886627197,N/A,N/A,2.06632113456726,6.37850046157837,N/A,N/A,
3,Four Lane,Single Car,No Yield,N/A,0,2.36543297767639,N/A,N/A,N/A,N/A,6.62396955490112,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.93109023571014,6.24186038970947,N/A,N/A,
36,Four Lane,Two Car Same,Yield,eHMI B,0,2.35047340393066,2.35047340393066,N/A,N/A,N/A,6.20166635513306,2.32624483108521,2.34635257720947,2.34635257720947,N/A,N/A,N/A,6.20166635513306,N/A,N/A,1.50203776359558,5.81416845321655,N/A,N/A,
10,Two Lane,Two Car Different,Yield,eHMI A,0,2.34930753707886,2.34930753707886,N/A,N/A,N/A,6.08563613891602,0,2.36531972885132,2.36531972885132,N/A,N/A,N/A,6.08563613891602,N/A,N/A,1.38405478000641,5.70332670211792,N/A,N/A,
5,Three Lane,Single Car,Yield,eHMI A,0,2.36623787879944,2.36623787879944,8.15094089508057,N/A,N/A,10.657901763916,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.96441268920898,10.2766799926758,N/A,N/A,
